JUMLAH SARANA PRASARANA (ASET),,,,,,,,,,,,,,
KARTU INVENTARIS BARANG (KIB B) PERALATAN DAN MESIN,,,,,,,,,,,,,,
Nomor,Kode Barang,Jenis Barang,Nomor Register,Merk/Type,Ukuran/CC,Bahan,Tahun Pembelian,Nomor Pabrik,,,,Asal usul,Harga (ribuanRp),Keterangan
,,,,,,,,Rangka,Mesin,Polisi,BPKB,,,
91,02.06.02.01.037,MEJA KOMPUTER,0002 s/d 0005,,,,2017,,,,,PEMBELIAN,16:40.0,BELU TV
92,02.06.02.01.048,MEJA BIRO,0012 s/d 0013,,,,2017,,,,,PEMBELIAN,"6,407.50",BELU TV
93,02.06.02.01.048,MEJA BIRO,0014 s/d 0022,,,,2017,,,,,PEMBELIAN,"21,697.50",BELU TV
94,02.06.02.01.048,MEJA BIRO,23,,,,2017,,,,,PEMBELIAN,"2,832.50",BELU TV
95,02.06.02.01.049,SOFA,1,JORDAN,,,2017,,,,,PEMBELIAN,"5,775.00",BELU TV
96,02.06.02.01.066,KURSI KERJA,0001 s/d 0005,,,,2017,,,,,PEMBELIAN,"16,445.00",BELU TV
97,02.06.02.01.066,KURSI KERJA,0006 s/d 0024,,,,2017,,,,,PEMBELIAN,"4,950.00",KURSI SANDARAN (BELU TV)
98,02.06.02.01.066,KURSI KERJA,0012 s/d 0013,,,,2017,,,,,PEMBELIAN,"3,520.00",KURSI PRESENTER (BELU TV)
99,02.06.02.01.066,KURSI KERJA,0014 s/d 0020,,,,2017,,,,,PEMBELIAN,"6,517.50",KURSI DIALOG (BELU TV)
100,02.06.02.01.066,KURSI KERJA,0016 s/d 0017,,,,2017,,,,,PEMBELIAN,"6,820.00",KURSI TAMU (BELU TV)
101,02.06.02.06.014,MICROPHONE,0001 s/d 0005,,,,2017,,,,,PEMBELIAN,"4,675.00",MICROPHONE CLIP ON (BELU TV)
102,02.06.02.06.021,CAMERA VIDEO,1,,,,2017,,,,,PEMBELIAN,"34,100.00",DRONE (BELU TV)
103,02.06.02.06.021,CAMERA VIDEO,0003 s/d 0005,SONY,,,2017,,,,,PEMBELIAN,"104,775.00",BELU TV
104,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0011 s/d 0018,DZUMBA/PHILIPS/ELECT,,,2017,,,,,PEMBELIAN,"45,760.00",
105,02.06.03.02.001,P.C UNIT/KOMPUTER PC,0024 s/d 0025,LENOVO,,,2017,,,,,PEMBELIAN,"18,700.00",BELU TV
106,02.06.03.02.002,LAP TOP,0005 s/d 0010,LENOVO,,,2017,,,,,PEMBELIAN,"48,180.00",
107,02.06.03.02.002,LAP TOP,15,LENOVO,,,2017,,,,,PEMBELIAN,"8,250.00",BELU TV
108,02.06.03.05.010,PERALATAN PERSONAL KOMPUTER LAIN-LAIN,1,,,,2017,,,,,PEMBELIAN,"1,650.00",CONECTOR BNC SET (BELU TV)
109,02.06.03.05.010,PERALATAN PERSONAL KOMPUTER LAIN-LAIN,2,,,,2017,,,,,PEMBELIAN,"189,900.00",KOMPUTER PLAYOUT PLAYBOX NEO (BELU TV)
110,02.06.03.05.010,PERALATAN PERSONAL KOMPUTER LAIN-LAIN,3,,,,2017,,,,,PEMBELIAN,"44,000.00",KOMPUTER EDITING VIDEO RAKITAN  (BELU TV)
111,02.06.03.05.010,PERALATAN PERSONAL KOMPUTER LAIN-LAIN,4,,,,2017,,,,,PEMBELIAN,"29,150.00",LAPTOP LIVE STREAMING (BELU TV)
112,02.06.03.05.014,HARD DISK EKSTERNAL,0001 s/d 0002,,,,2017,,,,,PEMBELIAN,"5,995.00",BELU TV
113,02.06.04.07.006,LEMARI ARSIP UNTUK ARSIP DINAMIS,0001 s/d 0006,,,,2017,,,,,PEMBELIAN,"26,070.00",BELU TV
114,02.06.04.07.006,LEMARI ARSIP UNTUK ARSIP DINAMIS,0007 s/d 0008,,,,2017,,,,,PEMBELIAN,"6,160.00",ETALASE (BELU TV)
115,02.07.01.02.035,TELEPROMTER,1,SONY,,,2017,,,,,PEMBELIAN,"41,800.00",TELEPROMTEL TELIKOU TF+AKSESORIS (BELU TV)
